;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTNAME10225;Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;The Hungarian nobility has grown increasingly nationalistic and liberal in recent years. The cities and countryside have become increasingly unruly, a violent and dangerous place for Bohemian officials and Czechs. In response, the Bohemian government ordered the Hungarian Diet dissolved and the replacement of the Governing Council with a single governor, Count Jirí Lukavský of Olomouc. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME880210;New Evidence Worsens Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME880200;Grave Consequences;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME880190;Fascist Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME880180;Communist Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME880170;Socialist Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME880160;Anarcho-Liberal Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME880150;Liberal Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME880140;Conservative Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME880130;Reactionary Party Rocked by Scandal;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME810057;The Colonial Regime Overthrown!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME810056;The New Socialist Regime;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME810055;$COUNTRY_ADJ$ Independence!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800152;Provinces Brought Under Control;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800151;$COUNTRY_ADJ$ Patriots;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800150;Pan-Nationalists Victorious!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800149;Rebels Storm $CAPITAL$!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800148;$FROMCOUNTRY$ Driven Out of South Asia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME800147;Sepoy Rebels Force Concessions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME800102;We Have Been Discovered;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800101;$FROMCOUNTRY$ Spreading Dissent;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800100;$COUNTRY_ADJ$ Patriots;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800098;$COUNTRY_ADJ$ Citizens Attacked in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800097;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800096;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800095;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800094;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800093;$FROMCOUNTRY$ Backs Down;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800092;$FROMCOUNTRY$ Enraged;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800091;$FROMCOUNTRY$ Accepts;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800090;$FROMCOUNTRY$ Does Not Accept;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800089;Insult from $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800088;Incident in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800087;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800086;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800085;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800084;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800083;A Summit of Equals;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800082;An Anarcho-Liberal Summit?;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800081;A Fascist Summit?;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800080;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800079;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$ a Disaster!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800078;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800077;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$ a Success!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800076;The $FROMCOUNTRY_ADJ$ Summit;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800075;A Communist Summit?;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800074;The Light of Democracy;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800073;The Light of Democracy;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800072;The Anarcho-Liberal Agenda;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800071;The Anarcho-Liberal Agenda;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800070;The $COUNTRY_ADJ$ Destiny;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800069;The $COUNTRY_ADJ$ Destiny;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800068;Workers of the World;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800067;$FROMCOUNTRY_ADJ$ Envoy Arrives;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800066;Workers of the World;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800065;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800064;We Were Discovered;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800063;The Cause of Freedom;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800062;The Spread of Anarcho-Liberalism;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800061;The Spread of Fascism;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800060;The Proletariat Cause;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800056;Rebellion in our ally!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800055;Rebellion in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800054;The New Liberal Regime;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800053;A New Order in $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800052;The New Communist Regime;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800051;The New $COUNTRY_ADJ$ Order;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800050;The Power of Tradition;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800024;$FROMCOUNTRY$ is Free!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800023;$FROMCOUNTRY$ Freed At Great Cost;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800022;Attempt Thwarted;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800021;Attempted Coup in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800018;Free At Last!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800017;Free At Great Cost;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800016;Intervention Failed;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800015;$FROMCOUNTRY$ Refuses to Intervene;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800014;$FROMCOUNTRY$ Declares Independence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800013;$FROMCOUNTRY$ Declares Independence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800012;Intervention in $FROMCOUNTRY$?;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME332552;Taras Shevchenko Dies;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME332551;Taras Shevchenko Dies;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME332550;Taras Shevchenko's Ukrainian Venture;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203805;Greater Denmark rises!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203777;Fascist Rallies!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203776;The Fascists Go Openly Public;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203775;The Fascist Movement Arises;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203772;Communist Takeover of Government!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203771;Fascist Takeover of Government!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203770;Slavery continues in our nation;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199034;Grain Farms in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199033;Ranches in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199032;Tropical Lumberyards in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199031;Lumberyards in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199030;Fisheries in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199015;Cash Crops;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME199009;Prospector Strikes Sulphur!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199008;Prospector Strikes Lead!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199007;Prospector Strikes Iron!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199006;Prospector Strikes Copper!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME199005;Prospector Strikes Coal!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME164602;Boxers in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME164601;Revolutionary Uprising in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME164600;The Tongmenghui;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME164599;The Xinhai Revolution;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME164505;Yang Xiuquan;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME164504;Hong Xiuquan;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME164503;The Heavenly Kingdom;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME162503;The Taiping Sect Spreads!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160502;Anti-Manchu Sentiment;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160501;Missionaries in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160026;Retreat to Formosa;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160025;The Death of Hong Xiuquan;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160020;The Taiping Sect Spreads!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160017;Pro-Christian Riots in $STATENAME$!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160016;Yang XiuQin;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160013;Anti-Manchu Sentiment;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160012;Taiping Missionaries in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160011;The Female Shortage;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160009;The Heavenly Kingdom;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME160008;The Taiping Are Victorious!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160007;The War Against the Manchu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160006;The War Against Taiping;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160004;Truce With the Manchu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160003;Truce With the Heavenly Kingdom;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160002;Taiping Rebellion Defeated;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME160001;Anarchy in the South;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131746;The Island of Formosa;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131745;Chinese Reunification;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131743;War with $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131742;The War of Reunification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131741;$FROMCOUNTRY$ Joins the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131740;Leader of the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131736;The Guominjun Clique;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131735;The Struggle for China;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131730;The Warlord Era;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131729;Spread of Xinjiang Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131728;Spread of Sichuan Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131727;Spread of Shanxi Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131726;Spread of Yunnan Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131725;Spread of Ma Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131724;Spread of Fengtian Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131723;Spread of Hunan Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131722;Spread of Guangxi Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131721;Spread of Guangdong Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131720;Spread of Anhui Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131715;The New Army;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131714;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131713;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131711;The Simla Convention;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME131710;The Unequal Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131709;The Kowloon Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME99015;The Boxer Protocol;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME99011;Boxers Attack $COUNTRY_ADJ$ Legation;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME99010;Boxers Attack Legation Quarter!;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME99006;Boxer Atrocities in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME99005;Attack on Foreigners in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME99001;Boxers in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME99000;The Righteous Harmony Society;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME98800;$STATENAME$ Colonial Incorporation;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98735;Islamic Fervor in $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98725;The Call for Arab Unity;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98725;The Call for Arab Unity;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98720;End of the Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98716;The Polish Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98715;The Slovakian Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98714;The Slovene Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98713;The Croatian Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98712;The Volasean Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98711;The Czech Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98710;The Hungarian Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98687;The Polish Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98686;The Polish Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98685;Polish Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98682;The Slovakians Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98681;The Slovakian Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98680;Slovakians Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98677;The Slovenes Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98676;The Slovene Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98675;Slovenes Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98672;The Croatians Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98671;The Croatian Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98670;Croatians Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98667;The Volaseans Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98666;The Volasean Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98665;Volaseans Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98662;The Czechs Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98661;The Czech Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98660;Czechs Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98657;The Hungarians Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98656;The Hungarian Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98655;Hungarians Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98651;Islamic Unification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98650;$FROMCOUNTRY_ADJ$ Unification!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98640;End of the Ottoman Dynasty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98636;Turkish Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98635;The Young Turks;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98630;Inspired Nationalists;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98626;The Empire in Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98625;The Kanûn-i Esâsî;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98620;Christian Oppression;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98612;$FROMCOUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98611;Must We Fight Alone?;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98610;$FROMCOUNTRY$ Demands Independence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98607;$COUNTRY$ Granted Independence;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98606;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98605;$FROMCOUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98600;$COUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98405;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98400;The Jewish Diaspora;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98317;Social Liberals Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98316;Anarcho-Liberals Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98315;Reactionaries Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98314;Fascists Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98313;Communists Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98312;Liberals Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98311;Socialists Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98310;Conservatives Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98305;Orderly Election;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98304;Government Supporters Rally;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98303;Contentious Election;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98302;Anger Against the Government;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98301;Violent Elections;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98300;War-Time Election;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98261;The Northern Kaap Colony;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98260;Walvis Bay;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98256;The Final Straw;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98255;Conflict with the Xhosa;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98250;Border Dispute with the Zulu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98248;The Treaty of Vereeniging;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98247;South Africa is Lost;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98246;The Dutch-Steenkooler War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98245;Annexation of the Obervahl;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98241;Appeal From $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98240;The Steller Union ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98236;Olbers Goldrush;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98231;Heeckeren River Convention;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98230;Sand River Convention;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98225;The Steenkooler Exodus;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98221;The Steenkoolers Overtake the Obervahl;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98220;The Obervahl Sovereignty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98216;The Steenkoolers Overtake the Heeckeren Valley;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98215;The Heeckeren River Sovereignty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98213;The Steenkoolers Have Refused!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98212;The Annexation of Natalia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98211;Natalian Independence!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98210;Dutch Rule of Natal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98207;The Natalia Republic;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98206;The Battle of Blood River;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98205;Invasion of the Wagenburgs;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98200;The Great Steenkooler Trek;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98105;The Cry of Yara;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98105;The Cry of Yara;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98100;The Ladder Conspiracy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98100;The Ladder Conspiracy;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98008;Czech Radicals Attempt Coup;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98007;Hungarian Revolutionaries;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98006;The Steenkooler Exodus;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98005;Appeal From $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98004;South Africa is Ours!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98003;The Dutch-Steenkooler War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98002;Annexation of the Obervahl;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98001;The South African Union ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98000;Border Dispute with the Zulu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97700;Patriot Rebellion!;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME97681;The $FROMCOUNTRY_ADJ$ Demand;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME97680;The Sakhalin Question;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME97679;The $FROMCOUNTRY_ADJ$ Demand;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME97678;The Formosa Question;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME97677;The Korean Question;;;;;;;;;;;;x,,,,,,,,,,
